2.804378,-1,2.148195,2v,11,7,6,4
12.980263,-1,2.050026,2h,9,2,14,4
-16.159950,1,2.070248,3h,11,3,6,17
-1.622533,1,1.851376,4r,7,7,6,4
-0.400625,1,1.639551,2v,7,21,6,2
-7.752101,1,1.663498,2h,1,2,6,6
7.151163,-1,1.610897,2v,4,5,16,8
4.346786,-1,1.492720,2h,18,1,4,7
-3.124878,1,1.504185,2h,6,5,6,4
-5.460534,1,1.636040,3h,11,11,6,3
-1.943033,-1,1.575489,2v,1,0,23,4
1.923002,-1,1.312702,2v,5,6,2,6
-0.340532,1,1.545544,4r,15,16,2,4
-2.884503,1,1.439032,4r,11,2,4,6
0.280438,-1,1.222219,2v,0,6,5,4
-29.198973,1,1.253705,3v,9,8,7,15
-0.180281,1,1.326287,2h,4,11,2,2
-0.721126,1,1.361302,4r,3,4,8,4
0.180281,-1,1.250131,4r,14,15,8,2
-2.820408,1,1.240608,3h,2,21,9,1
-0.100156,1,1.243668,4r,11,19,6,2
0.540844,-1,1.217172,4r,10,8,8,4
-9.186376,1,1.187240,3h,4,7,9,7
1.382158,-1,1.281949,4r,13,3,8,8
0.260407,-1,1.316389,2h,4,8,2,1
-5.769006,-1,1.234507,2v,4,0,6,18
-7.351476,1,1.372733,2h,20,3,4,9
-0.040063,1,1.471940,2v,5,12,6,2
0.921438,-1,1.313331,2h,14,19,4,3
1.061657,-1,1.318904,2h,11,5,6,3
-9.326595,1,1.409695,3h,15,1,3,21
1.021595,-1,1.428521,4r,10,0,2,14
0.821282,-1,1.199260,2v,3,3,6,12
-15.584328,1,1.325146,2h,1,0,4,17
-3.345222,1,1.342662,2v,7,4,10,6
0.000000,-1,1.178974,4r,8,5,2,2
-0.721126,1,1.396526,2v,9,21,5,2
-0.080125,-1,1.303881,4r,15,1,2,10
2.223471,-1,1.316539,2v,1,0,16,4
-12.518235,1,1.308848,3h,0,18,12,4
-5.488568,1,1.346174,4r,2,3,14,16
0.721126,-1,1.428395,2v,5,7,6,4
-14.522671,1,1.444839,2h,1,2,4,15
5.769006,-1,1.268497,2h,11,0,12,7
0.160250,-1,1.216183,2v,11,19,3,2
-24.318037,1,1.338439,3h,10,4,9,15
-0.140219,1,1.576543,2h,9,5,2,2
2.023158,-1,1.227853,2h,16,1,6,2
5.408443,-1,1.393862,2v,14,6,10,6
-19.630644,1,1.410268,2h,3,18,14,6
-2.523940,1,1.414493,4r,0,5,10,4
-0.140219,-1,1.325454,2v,5,0,11,2
